"","modified_cat","Type","IsMetro","Units","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","var"
"1","1","EMPL",30,30000,0.0910839350396204,0.0913906847995118,0.0929496507491432,0.0950372059009829,0.0991242653428188,0.105557845987546,0.109707474748201,0.115561428357898,0.121093719071555,0.127297838987567,0.134697629582211,0.137332068191132,0.140643619740454,0.144942167530727,0.147685370472915,0.150118671028436,0.153349657837007,0.155248240089111,"share"
"2","1","NGDP",17,1.7e+07,0.288428263309251,0.294603775525093,0.303930138186238,0.316321851687202,0.322617427141669,0.328850041047358,0.328042888052329,0.317299670239661,0.313932381283846,0.31851902738698,0.318199796798473,0.318696099746928,0.321594388703449,0.322529418978823,0.323865778056414,0.327143308807069,0.33006997167877,0.330842100494702,"share"
"3","1","POP",17,17000,0.125631311490725,0.127070665831066,0.128251091995171,0.130075540838537,0.132168213752763,0.134268096954955,0.137057306115553,0.140116499409532,0.143308322854908,0.146547207253724,0.150048065078127,0.151253173335617,0.152377716171078,0.153361530562716,0.154295476339725,0.155371585332285,0.155798317653586,0.15643186431197,"share"
"4","1","RGDP",17,1.7e+07,0.252904480703309,0.260982032000771,0.268951266147341,0.279276006581825,0.292370146674176,0.298310279753352,0.302342061633814,0.305455766243975,0.312642310444423,0.31851902738698,0.325682184605593,0.331654086032173,0.339079236133738,0.346095947480877,0.350154800899386,0.355096548839202,0.35884882309604,0.359172654437021,"share"
"5","1","GDPPK",17,1.7e+07,2.01306885761501,2.0538338277674,2.09706804022742,2.14702937063695,2.21210636334308,2.22175100801072,2.20595362773955,2.18001282883317,2.18160609388303,2.17349094094651,2.17051905625052,2.19270828319261,2.22525474625862,2.25673248180934,2.26937826828067,2.28546647110394,2.30329074473019,2.29603256354937,"share"
"6","2","EMPL",160,160000,0.0855220675631382,0.0862178256524189,0.0891718897775483,0.0932802131647203,0.0976289155755354,0.104049797741745,0.109758913376902,0.118216416834582,0.122774192234926,0.130928072277235,0.140604607824396,0.143914499767879,0.148822255981364,0.15332048736959,0.158198338267421,0.161140279730994,0.164781357453828,0.167686519947951,"share"
"7","2","NGDP",80,8e+07,0.357581476312729,0.35688163540199,0.362746661386623,0.374320324827856,0.382166965751566,0.389760188720716,0.390924642726491,0.379200467028563,0.382265748526832,0.389284501919753,0.390406369702174,0.392509163591699,0.395698853095347,0.393750314996664,0.395250638824673,0.39430244412507,0.394562049321849,0.395540032808448,"share"
"8","2","POP",80,80000,0.323453312463272,0.324299838216741,0.324028695089083,0.323807290329094,0.324563709781564,0.325155517695809,0.325975033945737,0.326837073921105,0.327396770916678,0.327795140154199,0.328198957183035,0.327806583833592,0.327524919020702,0.327291023801489,0.327526638571754,0.32807556607995,0.32909127383806,0.329076014907488,"share"
"9","2","RGDP",80,8e+07,0.300533163999044,0.307833975482391,0.31637289494821,0.328419490187688,0.344257072723718,0.356506574296327,0.363833405752412,0.36808931058342,0.379495378447528,0.389284501919753,0.400150351057823,0.410840725048707,0.423660859420005,0.430608375219953,0.438182413744977,0.444554792283414,0.44870834504043,0.448989837252181,"share"
"10","2","GDPPK",80,8e+07,0.929139237160138,0.949226423223358,0.976373079739842,1.01424365663264,1.06067641682863,1.09641865167377,1.11613886912878,1.12621651567066,1.15912987591471,1.18758472665772,1.21923102526697,1.25330223769168,1.29352252245951,1.31567425900787,1.33785274888101,1.35503779691743,1.36347688532523,1.36439551019361,"share"
"11","3","EMPL",12,12000,0.015365804836048,0.0151856966874575,0.0148773393317169,0.0148531475538593,0.0162617218433131,0.0148362041513733,0.0145280033332065,0.0146543387198652,0.0147553363284887,0.0154354818123829,0.0167762856490662,0.0166252228649516,0.0170172514526651,0.0176865741753027,0.0175147369937336,0.0171275783485813,0.017269460009133,0.0173362319116581,"share"
"12","3","NGDP",6,6e+06,0.051537107429019,0.0515722111437601,0.0513908676363731,0.0520837127583904,0.0503915952482004,0.0512805291425753,0.0513748272415165,0.0507271042618075,0.0521704730535849,0.0523183854305573,0.0529499893833455,0.0536725386546713,0.0537474959171305,0.0531353171907203,0.0497458557250279,0.0467826028270566,0.0416641688119,0.0414416364817665,"share"
"13","3","POP",6,6000,0.0288320944755646,0.028950454125603,0.0290445844571875,0.029124384790672,0.0292058065434581,0.0292885795331515,0.0293695024714145,0.029482726765618,0.0295638688836943,0.0296158806497347,0.0297186414381518,0.029692733467274,0.0296341832805666,0.0295861172361943,0.0294208811273324,0.0292750103620887,0.0290996960625065,0.028982669917801,"share"
"14","3","RGDP",6,6e+06,0.0398898577927692,0.0408185421508373,0.0420386964187805,0.0433903192941965,0.0450189893401197,0.0455507709382051,0.0463457103152245,0.0475030614789675,0.0501550734339782,0.0523183854305573,0.0540053618932329,0.0556509184526018,0.0570328385208902,0.0577120359165705,0.057033991286675,0.0556825048261854,0.0531939500924111,0.0528735191036981,"share"
"15","3","GDPPK",6,6e+06,1.38352272071584,1.40994479650454,1.4473850187372,1.48982784034956,1.54143968847878,1.55524001724449,1.57802163520928,1.61121669161091,1.69649898094497,1.76656524414464,1.81722175980436,1.87422685465916,1.92456252230481,1.95064581999182,1.9385548325298,1.90204902192945,1.82798988615379,1.82431498732363,"share"
"16","1","EMPL",30,30000,100,101.327826268245,103.740069655977,106.730009072874,112.117042039498,120.009655823194,125.280472460249,132.569094770323,139.363764585182,147.015777434084,156.130034494323,159.842515710717,164.305219515306,169.929604043873,173.766535615403,177.082258708917,181.24858898394,183.949383615173,"index"
