"","metro","gdpusc_2016","gdpppp_2016","emptot_2016","poptott_2016","gdppk_2016","CAGR_gdpusc_2000_2016","CAGR_gdpusc_2014_2016","CAGR_emptot_2000_2016","CAGR_emptot_2014_2016","CAGR_gdppk_2000_2016","CAGR_gdppk_2014_2016","CAGR_poptott_2000_2016","CAGR_poptott_2014_2016","cat"
"11","Shenyang, Liaoning",100701.931967336,177935.687597558,3047.19257566433,8279.01519896498,12.163515774186,0.116565199024578,-0.00224264895228721,0.00262970690621334,-3.19998411320022e-05,0.106961693057514,-0.00181844454269764,0.0086755540207879,-0.000424977207072574,"2"
"12","Dongguan, Guangdong",95675.7862846014,198071.58247461,1553.95203717906,8359.7777199453,11.4447763433149,0.129464611709924,0.0785658691443585,0.0700233323560882,0.00668505454832924,0.112290743034386,0.0774899673011471,0.0154400895477083,0.000998526089209362,"3"
"13","Chengdu, Sichuan",139978.280684509,337901.116568864,7927.51095622572,14627.8826937633,9.56927831696306,0.125996087108173,0.0788315915434716,0.0429987282981403,0.059145648582247,0.105895247233426,0.071602715696099,0.0181760794478796,0.00674585435580655,"1"
"14","Dalian, Liaoning",108981.142848553,195212.224878982,3526.11621019193,6984.58778881032,15.6030887067018,0.119865100697919,0.0133204295224014,0.0217526546633471,-0.0226560096629148,0.108105239426675,0.0132201048962719,0.0106125852065542,9.90156291262867e-05,"2"
"15","Suzhou, Jiangsu",215351.365127128,460091.739655861,7128.20946244959,10643.7644549734,20.2326316068092,0.124555971881016,0.0765816019494041,0.0733845648674731,0.0213632560334334,0.0932481878158347,0.0745686985603211,0.0286373985469206,0.00187321982464206,"1"
"16","Qingdao, Shandong",136578.923012908,285377.771034226,4312.16774909561,9293.93688349119,14.6954863934479,0.126822216337163,0.0787421253881238,0.0511557935100004,0.0255462519596941,0.111490700771991,0.0673264907986684,0.0137936516738495,0.0106955413248604,"1"
"17","Wuxi, Jiangsu",134873.580915297,271506.759322863,3654.96004978179,6525.20457533597,20.6696325545246,0.118918191548964,0.0724405192654489,0.0698276026107219,0.0207512312383642,0.101458615743345,0.0703755181635546,0.0158513225608896,0.0019292305054186,"1"
"18","Ningbo, Zhejiang",113793.316491012,247110.594185287,3674.54830893082,7895.4614357547,14.412497283021,0.109243881748866,0.0746432684552105,0.080726879731845,0.012235319045621,0.0912332154906637,0.0688798331856466,0.0165048735710485,0.00539203294011714,"1"
"19","Jinan, Shandong",92228.5329499142,187788.001713353,2984.43729564715,7286.03759065913,12.6582565355075,0.12076765290067,0.0786977387640795,0.0704772503575761,0.0171316887855391,0.106066547576607,0.0654809264658291,0.0132913388948188,0.0124045508182768,"1"
"20","Xian, Shaanxi",83168.3053970778,178122.817197553,3281.11840238635,8745.30086192408,9.51005651036913,0.126651541283066,0.0791869252241126,0.0332500195770677,0.0166598287037387,0.115686515994373,0.0718952755612305,0.00982805217370641,0.00680257654747485,"3"
"21","Changsha, Hunan",120545.926457395,263629.767372054,2411.6016414583,7483.8722163958,16.1074271408992,0.132839442381978,0.0915025053292693,0.0360203369553871,0.0283074805533796,0.11857344217627,0.0788592693375973,0.0127537447858164,0.0117190780586562,"1"
"22","Daqing, Heilongjiang",47368.4305511828,105192.33107158,1003.11143830193,2893.90102061194,16.3683658196321,0.0839596767042698,0.0061089088216395,0.0155410350355116,0.00813858400524792,0.0762555472617288,0.00887665900691048,0.00715827152960302,-0.00274339797690959,"2"
"23","Harbin, Heilongjiang",87744.7513177454,169494.912765787,2537.14818889521,10541.7555334025,8.3235426053771,0.115007092803787,0.0663028981394322,0.006983965401131,0.0101833665540432,0.109506256009068,0.0687781992511853,0.00495791417572122,-0.00231601010713689,"3"
